	group	names	scores	logfoldchanges	pvals	pvals_adj
0	Cortex	AT4G35060	8.009082	5.446716	1.1556766542065888e-15	1.870115961837102e-11
1	Cortex	AT5G25890	7.831253	8.344278	4.830321778873699e-15	3.9082133512867095e-11
2	Cortex	AT3G51240	7.7227297	6.5936627	1.138645576820635e-14	6.141854241370506e-11
3	Cortex	AT3G16240	7.64869	5.11947	2.0303643772469833e-14	8.21383908815267e-11
4	Cortex	AT5G40450	7.4218397	16.981945	1.155046098027793e-13	3.7381911916571496e-10
5	Cortex	AT1G52565	7.246377	7.9601426	4.280680430652353e-13	1.1544995121469396e-09
6	Cortex	AT1G29025	7.183156	7.9687557	6.812022316721484e-13	1.574744930416958e-09
7	Cortex	AT4G23870	7.161519	6.413756	7.978788542022456e-13	1.6139094523375922e-09
8	Cortex	AT2G22470	6.9522486	4.7720094	3.595094948710318e-12	6.463980717781152e-09
9	Cortex	AT4G30290	6.8805757	4.5866556	5.961111850362656e-12	9.64627119625685e-09
10	Cortex	AT1G65840	6.856234	4.8549542	7.069947011950927e-12	1.0400534777035445e-08
11	Cortex	AT4G30170	6.8092413	6.8520255	9.811485643333348e-12	1.3230788390035021e-08
12	Cortex	AT1G76240	6.6516967	5.16507	2.897335386112097e-11	3.6065139398512266e-08
13	Cortex	AT5G42590	6.5972657	4.4152174	4.188091810191929e-11	4.6328046694716205e-08
14	Cortex	AT3G23050	6.593547	5.237026	4.2944055148976835e-11	4.6328046694716205e-08
15	Cortex	AT2G35880	6.5523014	5.2727494	5.6657016453913007e-11	5.7301490016076264e-08
16	Cortex	AT2G01830	6.373458	3.943431	1.8481304486002799e-10	1.7592027599558664e-07
17	Cortex	AT2G45960	6.3281555	4.297485	2.4810928626078363e-10	2.2305024834844447e-07
18	Cortex	AT4G35100	6.3153086	4.6256313	2.6962330784322484e-10	2.2963391407995073e-07
19	Cortex	AT2G22970	6.2686534	4.9473085	3.6418346670541585e-10	2.886588514959781e-07
20	Cortex	AT2G41660	6.2642584	5.1007223	3.7460362633886663e-10	2.886588514959781e-07
21	Cortex	AT1G25230	6.237212	5.346288	4.4543755768070613e-10	3.0689358229349087e-07
22	Cortex	AT3G06770	6.2348456	4.89947	4.522237378079383e-10	3.0689358229349087e-07
