query_celltype,Columella,Cortex,Endodermis,Epidermis,LRC,Pericycle,Phloem,Procambium,Root cap,Root hair,Stele,Xylem
Cortex,3,140,24,45,5,4,5,1,24,11,12,11
Endodermis,2,19,108,5,2,6,7,3,2,2,19,4
Epidermis,10,24,10,139,14,7,6,0,13,27,3,7
Pericycle,2,7,11,9,3,95,11,3,5,6,20,4
Procambium,1,2,6,0,0,3,5,29,1,0,16,7
Root cap,10,23,8,31,15,1,8,0,130,24,4,7
Root hair,5,13,8,33,10,5,8,0,11,137,3,5
