Query_CellType,Assigned_CellType,Top1_Score,Top2_Score,Margin,Assigned_Votes,Total_Votes,Vote_Percent,PValue,Max_Shared_OG,QValue,Status,Round
Cortex,Cortex,97.87604807595442,1.5745651777701393,96.30148289818428,60,66,90.9090909090909,4.5351968709813243e-69,140,4.5351968709813243e-69,Assigned,1
Endodermis,Endodermis,95.61820702816335,2.7359493884772315,92.88225763968612,295,414,71.25603864734299,9.296537035354888e-194,108,6.507575924748422e-193,Assigned,1
Epidermis,Epidermis,93.01469514786525,2.325443076713452,90.6892520711518,297,480,61.875,5.671377762715435e-150,139,1.3233214779669348e-149,Assigned,1
Pericycle,Pericycle,87.84729735477916,8.806922736914913,79.04037461786425,84,168,50.0,9.185108456767971e-98,95,1.2859151839475159e-97,Assigned,1
Procambium,Procambium,75.08634930169694,19.27181776284106,55.81453153885588,129,258,50.0,4.518129380258358e-125,29,7.906726415452126e-125,Assigned,1
Root cap,Root cap,91.67002626154935,4.407754116835538,87.26227214471382,238,348,68.39080459770115,1.039437986923144e-174,130,3.638032954231004e-174,Assigned,1
Root hair,Root hair,100.0,0.0,100.0,82,82,100.0,1.8707098882446207e-93,137,2.1824948696187242e-93,Assigned,1
