query_celltype,Columella,Cortex,Endodermis,Epidermis,LRC,Pericycle,Phloem,Procambium,Root cap,Root hair,Stele,Xylem
Cortex,0.0,90.91,1.52,4.55,0.0,0.0,0.0,0.0,0.0,1.52,1.52,0.0
Endodermis,4.59,5.31,71.26,0.48,1.69,0.0,0.72,0.0,0.72,2.17,11.59,1.45
Epidermis,2.29,8.96,1.25,61.88,15.21,0.0,0.83,0.0,4.79,4.17,0.42,0.21
Pericycle,5.36,0.0,8.33,1.19,4.76,50.0,3.57,0.0,0.0,1.19,23.81,1.79
Procambium,2.33,0.78,6.59,0.78,0.78,0.0,3.1,50.0,1.16,4.26,23.26,6.98
Root cap,1.44,0.0,0.0,13.79,1.72,0.0,0.0,0.0,68.39,14.08,0.57,0.0
Root hair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
